Code,Name,Class,id
725067,Barnstable Muni Boa,  Class II,HYA
725088,Beverly Muni,  Class II,BVY
725090,Boston Logan Int'l Arpt,  Class I,BOS
744910,Chicopee Falls Westo,  Class II,CEF
744904,Lawrence Muni,  Class II,LWM
725066,Marthas Vineyard,  Class II,MVY
725063,Nantucket Memorial AP,  Class II,ACK
725065,New Bedford Rgnl,  Class II,EWB
725075,North Adams,  Class III,AQW
725098,Norwood Memorial,  Class II,OWD
725060,Otis ANGBb,  Class II,FMH
725064,Plymouth Municipal,  Class III,PYM
725073,Provincetown (AWOS),  Class II,PVC
744915,Westfield Barnes Muni AP,  Class II,BAF
725095,Worchester Regional Arpt,  Class I,ORH